mesh,mpi_ranks,h,component,jump_quadrature_L2,jump_quadrature_order,jump_face_L2,jump_face_order,roe_quadrature_L2,roe_quadrature_order,roe_face_L2,roe_face_order,central_rhs_L2,central_rhs_order,roe_rhs_L2,roe_rhs_order,total_rhs_L2,total_rhs_order
iv10,1,0.921007874660094,rho,0.023300035723920014,,0.02245834996452024,,0.019355600718608857,,0.01838210469055501,,0.025015912764605658,,0.04819486067557633,,0.05629562619743699,
iv10,1,0.921007874660094,rhou,0.046423140388440004,,0.04514923529639354,,0.03801170269706059,,0.03636357306040352,,0.05385941700874464,,0.09345479059529331,,0.11003853155331741,
iv10,1,0.921007874660094,rhov,0.04772258580789236,,0.04664818558844657,,0.038801811613239104,,0.037150934472412404,,0.05734330723125653,,0.09551740760884458,,0.1141724545163065,
iv10,1,0.921007874660094,rhow,0.0,,0.0,,4.8281475582274373e-17,,7.991732324608288e-18,,0.004202950686590986,,1.8457053048645092e-17,,0.004202950686590986,
iv10,1,0.921007874660094,rhoE,0.11966320859533866,,0.11562059313056589,,0.11415894682366239,,0.10845395930178235,,0.16631174954565933,,0.2884725365128638,,0.3425620952474352,
iv20,4,0.46825276195257587,rho,0.006360466433420528,1.9193337600791485,0.0061699100094588,1.9099097752066165,0.0052031740844630595,1.9420398946419544,0.005010939168191907,1.9214049582179673,0.006610189171414575,1.967446971988546,0.018865026182722032,1.3865449080923034,0.020609798309088833,1.485453273052798
iv20,4,0.46825276195257587,rhou,0.01272506107420209,1.913230679030763,0.012271522504739996,1.9257477763754214,0.010532880044355838,1.8972173125756628,0.010176981440835469,1.8825036697982367,0.015538735129119607,1.8375671572154666,0.038437611968675026,1.3133679486834793,0.04237649426444909,1.4106322243133473
iv20,4,0.46825276195257587,rhov,0.01293607280876975,1.9297288286281504,0.01248766402120184,1.9482187837812355,0.01065572860846041,1.9104878772250231,0.01031664151060922,1.89402181414123,0.01635887418778167,1.8541894271027934,0.039256247141811626,1.3144863842996362,0.04267720539376939,1.4546974158315982
iv20,4,0.46825276195257587,rhow,0.0,,0.0,,4.4024836996817827e-17,,7.291561380068947e-18,,3.967510440359765e-05,6.892966051539614,3.441400405728965e-17,,3.967510440359779e-05,6.8929660515396085
iv20,4,0.46825276195257587,rhoE,0.036185141597274116,1.7680749898626071,0.03500018720075512,1.7664903458483794,0.03296952838170296,1.8360396163072568,0.03178873092785333,1.8141697399748857,0.047698634131703936,1.8463185311734658,0.12621259560865883,1.2219964402773433,0.13782881147358708,1.345888975364641
iv40,8,0.23604019455678307,rho,0.0010203585811791596,2.671432427450271,0.0009876665595916388,2.6745663899944954,0.0008421398973985203,2.658484181750664,0.0008101128055776027,2.6601296579344473,0.0017176059069810479,1.967399706664602,0.003467528855652174,2.472777197165711,0.0038644001747499585,2.443715539866169
iv40,8,0.23604019455678307,rhou,0.0020451894019495815,2.6687103527203315,0.001977071667399842,2.6651798452875797,0.0017176630688676244,2.647475727479617,0.0016617968102250026,2.645566116327577,0.0036240802921783657,2.125142144977663,0.007573127822654244,2.371409847044139,0.008510100669516218,2.343541141888795
iv40,8,0.23604019455678307,rhov,0.0020672330144197383,2.677069089400907,0.0019936151877909644,2.678503916403927,0.0017252749834875587,2.6579487510903936,0.0016698458177900122,2.6584097367838457,0.0036289929887585114,2.1982508541218873,0.007589023047366482,2.3991138868807664,0.008336361440624388,2.38397588526355
iv40,8,0.23604019455678307,rhow,0.0,,0.0,,4.1347820431701327e-17,,7.058096631591506e-18,,8.419350117235505e-06,2.2630326655803583,6.562691339324513e-17,,8.41935011723559e-06,2.263032665580349
iv40,8,0.23604019455678307,rhoE,0.006077973691511616,2.6043229814601823,0.005867149847118414,2.607253209716824,0.005488870599207421,2.61729224101309,0.005294750312907184,2.6166131130355788,0.011675072453619609,2.0546483966359506,0.02403794605847685,2.420903994380029,0.026787796198415523,2.3913158156948198
iv80,16,0.11856838008967246,rho,0.0001354589612695906,2.9327591843601706,0.00013176606093433813,2.9256081088299406,0.00011173980131866322,2.9335326118619443,0.0001083637664979729,2.9217776215234132,0.00035703941769581416,2.281499656315819,0.000530344835801623,2.727141026306579,0.0006346551174756475,2.623744146772282
iv80,16,0.11856838008967246,rhou,0.0002813281904072618,2.8811741729863525,0.0002732027906426907,2.8745424461569047,0.00023364046169888742,2.897459668971906,0.00022780071627136121,2.8861991530287834,0.0006901724987663565,2.408692396695645,0.0011853238520954416,2.693619609276775,0.00137732490963677,2.64499373169103
iv80,16,0.11856838008967246,rhov,0.00027979791495456776,2.904666735903892,0.00027193738334036833,2.893387984877432,0.00023369253266158368,2.9035582085826177,0.0002279903823593752,2.8920082210618854,0.00078071859971118,2.2316170325373097,0.001181366574587924,2.7015219323459037,0.0013795291252897005,2.6127125206140707
iv80,16,0.11856838008967246,rhow,0.0,,0.0,,4.0254391058985306e-17,,7.259714664152824e-18,,2.2622230332698195e-06,1.9087309489654238,1.2979337085383065e-16,,2.2622230332704057e-06,1.9087309489650621
iv80,16,0.11856838008967246,rhoE,0.0008155834718772848,2.9171925806114145,0.0007935779733831136,2.9056453317324724,0.0007416650058619877,2.9071088903579936,0.000721926767585785,2.8939896916630667,0.0023594545644010055,2.322435800875242,0.003772190402928128,2.6898254684093397,0.0043789985489903855,2.6304925174944547
