mesh,mpi_ranks,steps,mass_scaled_drift,momentum_x_scaled_drift,momentum_y_scaled_drift,momentum_z_scaled_drift,total_energy_scaled_drift,max_abs_scaled_drift,min_density_mean,min_pressure_of_mean,min_density_point,min_pressure_point
iv10,1,61,-2.748386068103323e-15,-3.616297456429419e-15,-4.194905050794739e-15,1.8561541192951836e-16,-3.132692496910711e-15,4.194905050794739e-15,0.8085753625326911,0.82625063114415,0.8046042884059477,0.8214321741901918
iv20,4,124,-8.82376580679479e-15,-7.087943025130777e-15,-7.087943025129126e-15,-1.6845791254993525e-17,-7.41953487939166e-15,8.82376580679479e-15,0.6084720499908871,0.5605689934936248,0.5996536379812644,0.5504128534770985
iv40,8,266,-2.2131740466247884e-14,-1.489914554263784e-14,-1.345262655791557e-14,-1.3908280993915612e-18,-1.7147369499199608e-14,2.2131740466247884e-14,0.49546420769582583,0.3903265134638473,0.49212256010999816,0.3852267258076943
iv80,64,548,-3.818810119666424e-14,-3.2691329054720326e-14,-3.4571803734859074e-14,9.846493314035224e-19,-3.594352452717416e-14,3.818810119666424e-14,0.4931937477035844,0.372230920634244,0.4925480920420162,0.3712308336327495
