mesh,mpi_ranks,h_from_static,time,steps,quantity,L1,order_L1,L2,order_L2,Linf,order_Linf
iv10,1,0.921007874660094,2.0,61,rho,0.0170008247943167,,0.0414582566289147,,0.2586307009045955,
iv10,1,0.921007874660094,2.0,61,pressure,0.023142422259165706,,0.06309028422845735,,0.393886536072898,
iv20,4,0.46825276195257587,2.0,124,rho,0.006021032279743445,1.5344626566621813,0.015080086827615212,1.495005496494927,0.11894664192475335,1.1482212926709001
iv20,4,0.46825276195257587,2.0,124,pressure,0.008652278801097514,1.4544010868492874,0.02484318655478193,1.3777352304206951,0.19209778544891803,1.0614936268736832
iv40,8,0.23604019455678307,2.0,266,rho,0.0012223537573136103,2.3276877867309436,0.0030978915321738507,2.3104222198942335,0.023016261493186918,2.397750819914161
iv40,8,0.23604019455678307,2.0,266,pressure,0.0016654851907851246,2.405389038799365,0.004688366179753477,2.4342838577445134,0.03644745354861234,2.4264497297410976
iv80,64,0.11856838008967246,2.0,548,rho,0.00019867903260590121,2.6387953551199272,0.00049813620056127,2.6544239892215877,0.003476014645368175,2.745506017285664
iv80,64,0.11856838008967246,2.0,548,pressure,0.0002521105077866447,2.742150499161917,0.000707523379587084,2.7466014182860947,0.005516921422211496,2.7422192730866586
