mode,mesh,nodes,region,variables,component,quantity,L1,L2,Linf
efficient,10,745,boundary,conservative,rhou,value,1.0097507779362563e-16,1.307368432448086e-16,5.02852967598777e-16
efficient,10,745,boundary,conservative,rhov,dx,5.222763086570103e-17,9.216475822242592e-17,4.665931811927149e-16
efficient,10,745,boundary,conservative,rhov,dy,5.967234226305294e-17,1.0319839796394603e-16,5.835438672530634e-16
efficient,10,745,boundary,conservative,rhov,dz,1.0083208260821982e-16,1.4026055337297917e-16,6.097137971914322e-16
efficient,10,745,boundary,conservative,rhov,gradient,1.617921454592969e-16,1.9702100099486225e-16,7.124537018570609e-16
efficient,10,745,boundary,conservative,rhov,mean,5.503648198099788e-17,6.731487013882527e-17,1.7146657357858253e-16
efficient,10,745,boundary,conservative,rhov,value,5.134525865086833e-17,6.524231071677224e-17,3.5236570605778894e-16
efficient,10,745,boundary,conservative,rhow,dx,3.095165185411231e-17,5.319678508070001e-17,3.648662182933679e-16
efficient,10,745,boundary,conservative,rhow,dy,4.098712506272292e-17,7.099160411738393e-17,4.87940952562365e-16
efficient,10,745,boundary,conservative,rhow,dz,5.830041299863937e-17,8.091892225605628e-17,3.215769054580424e-16
efficient,10,745,boundary,conservative,rhow,gradient,9.848945746515983e-17,1.2007321840095415e-16,5.055380943449712e-16
efficient,10,745,boundary,conservative,rhow,mean,2.5730691160877253e-17,3.30027923343114e-17,1.2961636972064206e-16
efficient,10,745,boundary,conservative,rhow,value,2.8329155550625905e-17,3.908419856736479e-17,2.3332030751888055e-16
efficient,10,745,boundary,primitive,p,dx,4.700482510605591e-16,8.149490589409635e-16,4.1988210936036614e-15
efficient,10,745,boundary,primitive,p,dy,4.2156895502777407e-16,7.506314100556706e-16,4.645226726806228e-15
efficient,10,745,boundary,primitive,p,dz,8.139362010165228e-16,1.1401742823901207e-15,4.388416713352328e-15
efficient,10,745,boundary,primitive,p,gradient,1.3122251532890336e-15,1.5898386322689334e-15,5.534027400433941e-15
efficient,10,745,boundary,primitive,p,value,6.817603256684902e-16,8.591266364982691e-16,2.8323697554011318e-15
efficient,10,745,boundary,primitive,rho,dx,3.415181793972511e-16,6.021103849316899e-16,4.4158622749092616e-15
efficient,10,745,boundary,primitive,rho,dy,3.7917457481429063e-16,6.882410225148384e-16,3.809308757644035e-15
efficient,10,745,boundary,primitive,rho,dz,6.342554218155366e-16,9.230299353904618e-16,4.134996313995103e-15
efficient,10,745,boundary,primitive,rho,gradient,1.035417849462933e-15,1.2993063081282175e-15,5.55972554075667e-15
efficient,10,745,boundary,primitive,rho,value,3.1466252263215536e-16,4.295073668094634e-16,1.7973903615464693e-15
efficient,10,745,boundary,primitive,u,dx,7.81749674092697e-17,1.260932327108761e-16,6.877229905347115e-16
efficient,10,745,boundary,primitive,u,dy,7.914845582092053e-17,1.3984967516831124e-16,8.997510073419871e-16
efficient,10,745,boundary,primitive,u,dz,1.2812048899272033e-16,1.8118742426377417e-16,6.722417164181855e-16
efficient,10,745,boundary,primitive,u,gradient,2.1595624740770823e-16,2.613165086470853e-16,9.040113221487037e-16
efficient,10,745,boundary,primitive,u,value,6.739572343398695e-17,8.627386821325875e-17,2.939001039065081e-16
efficient,10,745,boundary,primitive,v,dx,3.9546152725045425e-17,6.6334763661446e-17,3.615556958981429e-16
efficient,10,745,boundary,primitive,v,dy,4.6864378662533715e-17,8.543558486727649e-17,5.861815278508133e-16
efficient,10,745,boundary,primitive,v,dz,7.753982415395614e-17,1.0774564790166846e-16,4.885203230982869e-16
